batch_id,category_4,target_source,target_display_name,target_credit_code,industry_source_lv1,candidate_display_name,candidate_credit_code,candidate_source,annotator_1_is_competitor,annotator_1_type,annotator_2_is_competitor,annotator_2_type,annotator_3_is_competitor,annotator_3_type,final_is_competitor,final_type,notes
gold_20260701,ai,financing,北京松延动力科技集团股份有限公司,91110114MACYMUGC1P,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京爱诗科技有限公司,91110105MACE7PGD6L,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,星海图（北京）人工智能科技股份有限公司,91320594MACU7WRA5A,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京极佳视界科技有限公司,91110108MAC77QW59A,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,上海穹彻智能科技有限公司,91310000MAD3PE5K3P,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,"OpenAI, Inc.",cp-155148,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,智平方（深圳）科技股份有限公司,91440300MA5HTHDC7C,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,智象未来（合肥）信息技术有限公司,91440300MA5HQX0Y1R,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,雷鸟创新技术（深圳）有限公司,91440300MA5H5WDE3Y,VRAR,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,上海基流科技股份有限公司,91110108MAC7JDJH44,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,Lambda Labs,cp-2284443,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,蓝星光域（上海）航天科技有限公司,91310110MA1G9BLJ1F,通信业务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,"Databricks, Inc.",cp-197549,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京面壁智能科技有限责任公司,91110108MABU8XJRXD,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,深圳江原科技有限公司,91350200MAC1YA82XG,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,帕西尼感知科技（深圳）有限公司,91440300MA5GURGH9P,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,自变量科技（深圳）有限责任公司,91370100MAD6GJYA3Q,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,深圳市飞速创新技术股份有限公司,914403006875791775,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京星动纪元科技有限公司,91110108MACTH7TU73,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,上海稀宇极智科技有限公司,91310000MA7CGN828C,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,厦门优迅芯片股份有限公司,913502006120496576,通信业务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京生数科技股份有限公司,91110108MACC4D63XF,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,武汉长进光子技术股份有限公司,914201005979328891,通信业务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京千诀科技有限公司,91110108MACMEFMP0J,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,杭州拓深科技有限公司,91330108341894225H,物联网,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京玻色量子科技有限公司,91110105MA01X9AC4L,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,微分智飞（杭州）科技有限公司,91330110MADRYTB857,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,北京硅基流动科技有限公司,91110108MACUTWH50K,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,太初（无锡）电子科技有限公司,91320211MA20C1UT7M,企业服务,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,ai,financing,千寻智能（杭州）科技有限公司,91330109MAD9M4GQ4M,人工智能,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,威脉清通医疗科技（无锡）有限公司,91320205MA26LXPF26,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,微元合成生物技术（北京）有限公司,91110108MA7EDDTDX7,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,苏州血霁生物科技有限公司,91320594MA268GEX23,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,天津恒宇医疗科技有限公司,91120118MA07E2523J,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,深圳易慕峰生物科技股份有限公司,91310115MA1K4KE29Q,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,深圳莱芒生物科技有限公司,91440300MA5GW6UN0X,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,剂泰科技（北京）股份有限公司,91330108MA2H24J68R,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,凯思凯迪（上海）医药科技股份有限公司,91310115MA1K3YYQ5M,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,巴泰医疗科技（浙江）股份有限公司,9133010132825192XH,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,深圳市新樾生物科技有限公司,91440300MA5GQPEW19,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,杭州合碳创物科技有限公司,91330102MACJ3QGR6X,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,广州思德医疗科技有限公司,91440101MA5CLLAK6X,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,图湃（北京）医疗科技集团股份有限公司,91110108MA01850A7Y,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,苏州冰晶智能医疗科技有限公司,91320505MA277TWU3R,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,北京普祺医药科技股份有限公司,91110106MA008GA246,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,湖南麦肯伟科技有限公司,91430100MACALNJX6P,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,成都迈科康生物科技股份有限公司,91510100MA61UHDYXP,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,苏州艾捷博雅科技有限公司,91320594MA22AWU80W,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,杭州浩博医药有限公司,91330108MA2GPAWC0B,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,景泽生物医药（合肥）股份有限公司,91320684MA1X7K212T,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,北京华诺泰生物医药科技股份有限公司,91110302MA01GJXA99,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,康维健生物医药有限公司,91441303MA55BMX94C,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,杭州糖吉医疗科技股份有限公司,91330108MA27YE9590,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,上海微知卓生物科技有限公司,91310000MA1K30JA6G,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,迦进生物医药（上海）有限公司,91310120MA7D63J11E,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,河北维达康生物科技股份有限公司,91130607MA0G94MJ79,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,成都泰和伟业生物科技有限公司,91510100062413046M,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,江苏仅三生物科技有限公司,91320102MA2733AT2A,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,苏州易合医药有限公司,91330201MA2H6E7YXC,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,bio,financing,合肥领新博瑞生物科技有限公司,91110400MABX8CJR59,医疗,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,上海沃兰特航空技术有限责任公司,91310112MA1GEPAW3H,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,江苏泽景汽车电子股份有限公司,913210003391934895,智能硬件,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,深圳众擎机器人科技股份有限公司,91440300MAD0L2XT8K,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,零重力飞机工业（合肥）有限公司,91320115MA25KHFY4P,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,沐曦集成电路（上海）股份有限公司,91310000MA1H38T58K,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,智元创新（上海）科技股份有限公司,91310000MACA4F0G12,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,北京加速进化科技有限公司,91110108MACN3TDP28,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,深圳市欧冶半导体有限公司,91440300MA5H65RL1L,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,视涯科技股份有限公司,91310115MA1K3HFW7W,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,灵心巧手（北京）科技股份有限公司,91110108MACNW1BX7F,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,上海开普勒机器人有限公司,91310115MACUM2Q15M,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,芯盟科技有限公司,91330481MA2BCCQH3M,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,蓝色向量智能科技（杭州）有限公司,91330106MACWXF48XB,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,四川沃飞长空科技股份有限公司,91510100MA61UE529R,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,广州文远知行科技有限公司,91440101MA5APDWHXQ,汽车出行,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,中科宇航技术股份有限公司,91110112MA01G95012,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,北京蓝箭鸿擎科技有限公司,91310117MA1J2K3B0J,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,北京银河通用机器人股份有限公司,91110108MACJ3J0D0R,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,诺视科技（苏州）有限公司,91320505MA27AGGU2H,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,上海橙科微电子科技有限公司,91310115MA1H998A0C,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,苏州倍丰智能科技有限公司,91320594MA1Q211Q5T,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,成都宏明电子股份有限公司,915101002019334483,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,北京航天驭星科技股份有限公司,91110108MA008PK575,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,无锡星微科技有限公司,91320214330966457E,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,江苏沃莱新材料有限公司,91320411MA27D7C62U,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,北京达奇月泉仿生科技有限公司,91110114MAC27YU611,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,通友智能装备（江苏）有限公司,91320583MA1UTPND59,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,长春市见真精密机械制造有限公司,91220101MA0Y6WMU3J,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,上海泰矽微电子有限公司,91310115MA1K4EDY8Q,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
gold_20260701,semi_mfg,financing,盛合晶微半导体（江阴）有限公司,91320281321666575D,先进制造,,,,,,,,,,,,候选企业由业务填写；1=竞品 0=非竞品
